城市,城市代码,城镇,城镇代码,市辖区县,市辖区县代码,省份
济南市,370100000000,,,,,山东省
青岛市,370200000000,,,,,山东省
淄博市,370300000000,,,,,山东省
枣庄市,370400000000,,,,,山东省
东营市,370500000000,,,,,山东省
烟台市,370600000000,,,,,山东省
潍坊市,370700000000,,,,,山东省
济宁市,370800000000,,,,,山东省
泰安市,370900000000,,,,,山东省
威海市,371000000000,,,,,山东省
日照市,371100000000,,,,,山东省
莱芜市,371200000000,,,,,山东省
临沂市,371300000000,,,,,山东省
德州市,371400000000,,,,,山东省
聊城市,371500000000,,,,,山东省
滨州市,371600000000,,,,,山东省
菏泽市,371700000000,,,,,山东省
市辖区,310100000000,,,,,上海市
福州市,350100000000,,,,,福建省
厦门市,350200000000,,,,,福建省
莆田市,350300000000,,,,,福建省
三明市,350400000000,,,,,福建省
泉州市,350500000000,,,,,福建省
漳州市,350600000000,,,,,福建省
南平市,350700000000,,,,,福建省
龙岩市,350800000000,,,,,福建省
宁德市,350900000000,,,,,福建省
杭州市,330100000000,,,,,浙江省
宁波市,330200000000,,,,,浙江省
温州市,330300000000,,,,,浙江省
嘉兴市,330400000000,,,,,浙江省
湖州市,330500000000,,,,,浙江省
绍兴市,330600000000,,,,,浙江省
金华市,330700000000,,,,,浙江省
衢州市,330800000000,,,,,浙江省
舟山市,330900000000,,,,,浙江省
台州市,331000000000,,,,,浙江省
丽水市,331100000000,,,,,浙江省
长春市,220100000000,,,,,吉林省
吉林市,220200000000,,,,,吉林省
四平市,220300000000,,,,,吉林省
辽源市,220400000000,,,,,吉林省
通化市,220500000000,,,,,吉林省
白山市,220600000000,,,,,吉林省
松原市,220700000000,,,,,吉林省
白城市,220800000000,,,,,吉林省
延边朝鲜族自治州,222400000000,,,,,吉林省
哈尔滨市,230100000000,,,,,黑龙江省
齐齐哈尔市,230200000000,,,,,黑龙江省
鸡西市,230300000000,,,,,黑龙江省
鹤岗市,230400000000,,,,,黑龙江省
双鸭山市,230500000000,,,,,黑龙江省
大庆市,230600000000,,,,,黑龙江省
伊春市,230700000000,,,,,黑龙江省
佳木斯市,230800000000,,,,,黑龙江省
七台河市,230900000000,,,,,黑龙江省
牡丹江市,231000000000,,,,,黑龙江省
黑河市,231100000000,,,,,黑龙江省
绥化市,231200000000,,,,,黑龙江省
大兴安岭地区,232700000000,,,,,黑龙江省
合肥市,340100000000,,,,,安徽省
芜湖市,340200000000,,,,,安徽省
蚌埠市,340300000000,,,,,安徽省
淮南市,340400000000,,,,,安徽省
马鞍山市,340500000000,,,,,安徽省
淮北市,340600000000,,,,,安徽省
铜陵市,340700000000,,,,,安徽省
安庆市,340800000000,,,,,安徽省
黄山市,341000000000,,,,,安徽省
滁州市,341100000000,,,,,安徽省
阜阳市,341200000000,,,,,安徽省
南昌市,360100000000,,,,,江西省
景德镇市,360200000000,,,,,江西省
萍乡市,360300000000,,,,,江西省
南京市,320100000000,,,,,江苏省
无锡市,320200000000,,,,,江苏省
徐州市,320300000000,,,,,江苏省
常州市,320400000000,,,,,江苏省
苏州市,320500000000,,,,,江苏省
南通市,320600000000,,,,,江苏省
连云港市,320700000000,,,,,江苏省
淮安市,320800000000,,,,,江苏省
盐城市,320900000000,,,,,江苏省
扬州市,321000000000,,,,,江苏省
镇江市,321100000000,,,,,江苏省
泰州市,321200000000,,,,,江苏省
宿迁市,321300000000,,,,,江苏省
沈阳市,210100000000,,,,,辽宁省
大连市,210200000000,,,,,辽宁省
鞍山市,210300000000,,,,,辽宁省
抚顺市,210400000000,,,,,辽宁省
本溪市,210500000000,,,,,辽宁省
丹东市,210600000000,,,,,辽宁省
锦州市,210700000000,,,,,辽宁省
营口市,210800000000,,,,,辽宁省
阜新市,210900000000,,,,,辽宁省
辽阳市,211000000000,,,,,辽宁省
宿州市,341300000000,,,,,安徽省
六安市,341500000000,,,,,安徽省
亳州市,341600000000,,,,,安徽省
池州市,341700000000,,,,,安徽省
宣城市,341800000000,,,,,安徽省
九江市,360400000000,,,,,江西省
新余市,360500000000,,,,,江西省
鹰潭市,360600000000,,,,,江西省
赣州市,360700000000,,,,,江西省
吉安市,360800000000,,,,,江西省
宜春市,360900000000,,,,,江西省
抚州市,361000000000,,,,,江西省
上饶市,361100000000,,,,,江西省
呼和浩特市,150100000000,,,,,内蒙古自治区
太原市,140100000000,,,,,山西省
大同市,140200000000,,,,,山西省
阳泉市,140300000000,,,,,山西省
长治市,140400000000,,,,,山西省
晋城市,140500000000,,,,,山西省
朔州市,140600000000,,,,,山西省
晋中市,140700000000,,,,,山西省
运城市,140800000000,,,,,山西省
忻州市,140900000000,,,,,山西省
临汾市,141000000000,,,,,山西省
吕梁市,141100000000,,,,,山西省
盘锦市,211100000000,,,,,辽宁省
铁岭市,211200000000,,,,,辽宁省
朝阳市,211300000000,,,,,辽宁省
葫芦岛市,211400000000,,,,,辽宁省
石家庄市,130100000000,,,,,河北省
唐山市,130200000000,,,,,河北省
秦皇岛市,130300000000,,,,,河北省
邯郸市,130400000000,,,,,河北省
市辖区,120100000000,,,,,天津市
市辖区,110100000000,,,,,北京市
包头市,150200000000,,,,,内蒙古自治区
乌海市,150300000000,,,,,内蒙古自治区
赤峰市,150400000000,,,,,内蒙古自治区
通辽市,150500000000,,,,,内蒙古自治区
鄂尔多斯市,150600000000,,,,,内蒙古自治区
呼伦贝尔市,150700000000,,,,,内蒙古自治区
巴彦淖尔市,150800000000,,,,,内蒙古自治区
乌兰察布市,150900000000,,,,,内蒙古自治区
兴安盟,152200000000,,,,,内蒙古自治区
锡林郭勒盟,152500000000,,,,,内蒙古自治区
阿拉善盟,152900000000,,,,,内蒙古自治区
西宁市,630100000000,,,,,青海省
海东市,630200000000,,,,,青海省
海北藏族自治州,632200000000,,,,,青海省
黄南藏族自治州,632300000000,,,,,青海省
海南藏族自治州,632500000000,,,,,青海省
果洛藏族自治州,632600000000,,,,,青海省
玉树藏族自治州,632700000000,,,,,青海省
海西蒙古族藏族自治州,632800000000,,,,,青海省
乌鲁木齐市,650100000000,,,,,新疆维吾尔自治区
克拉玛依市,650200000000,,,,,新疆维吾尔自治区
吐鲁番市,650400000000,,,,,新疆维吾尔自治区
哈密市,650500000000,,,,,新疆维吾尔自治区
昌吉回族自治州,652300000000,,,,,新疆维吾尔自治区
博尔塔拉蒙古自治州,652700000000,,,,,新疆维吾尔自治区
巴音郭楞蒙古自治州,652800000000,,,,,新疆维吾尔自治区
兰州市,620100000000,,,,,甘肃省
嘉峪关市,620200000000,,,,,甘肃省
金昌市,620300000000,,,,,甘肃省
白银市,620400000000,,,,,甘肃省
天水市,620500000000,,,,,甘肃省
武威市,620600000000,,,,,甘肃省
银川市,640100000000,,,,,宁夏回族自治区
石嘴山市,640200000000,,,,,宁夏回族自治区
吴忠市,640300000000,,,,,宁夏回族自治区
固原市,640400000000,,,,,宁夏回族自治区
中卫市,640500000000,,,,,宁夏回族自治区
西安市,610100000000,,,,,陕西省
铜川市,610200000000,,,,,陕西省
宝鸡市,610300000000,,,,,陕西省
咸阳市,610400000000,,,,,陕西省
渭南市,610500000000,,,,,陕西省
延安市,610600000000,,,,,陕西省
汉中市,610700000000,,,,,陕西省
榆林市,610800000000,,,,,陕西省
安康市,610900000000,,,,,陕西省
商洛市,611000000000,,,,,陕西省
邢台市,130500000000,,,,,河北省
保定市,130600000000,,,,,河北省
张家口市,130700000000,,,,,河北省
承德市,130800000000,,,,,河北省
沧州市,130900000000,,,,,河北省
廊坊市,131000000000,,,,,河北省
衡水市,131100000000,,,,,河北省
昆明市,530100000000,,,,,云南省
曲靖市,530300000000,,,,,云南省
玉溪市,530400000000,,,,,云南省
保山市,530500000000,,,,,云南省
昭通市,530600000000,,,,,云南省
丽江市,530700000000,,,,,云南省
普洱市,530800000000,,,,,云南省
临沧市,530900000000,,,,,云南省
楚雄彝族自治州,532300000000,,,,,云南省
红河哈尼族彝族自治州,532500000000,,,,,云南省
文山壮族苗族自治州,532600000000,,,,,云南省
西双版纳傣族自治州,532800000000,,,,,云南省
大理白族自治州,532900000000,,,,,云南省
德宏傣族景颇族自治州,533100000000,,,,,云南省
怒江傈僳族自治州,533300000000,,,,,云南省
迪庆藏族自治州,533400000000,,,,,云南省
贵阳市,520100000000,,,,,贵州省
六盘水市,520200000000,,,,,贵州省
遵义市,520300000000,,,,,贵州省
安顺市,520400000000,,,,,贵州省
毕节市,520500000000,,,,,贵州省
铜仁市,520600000000,,,,,贵州省
黔西南布依族苗族自治州,522300000000,,,,,贵州省
黔东南苗族侗族自治州,522600000000,,,,,贵州省
黔南布依族苗族自治州,522700000000,,,,,贵州省
拉萨市,540100000000,,,,,西藏自治区
日喀则市,540200000000,,,,,西藏自治区
昌都市,540300000000,,,,,西藏自治区
林芝市,540400000000,,,,,西藏自治区
山南市,540500000000,,,,,西藏自治区
那曲市,540600000000,,,,,西藏自治区
阿里地区,542500000000,,,,,西藏自治区
市辖区,500100000000,,,,,重庆市
县,500200000000,,,,,重庆市
海口市,460100000000,,,,,海南省
三亚市,460200000000,,,,,海南省
三沙市,460300000000,,,,,海南省
儋州市,460400000000,,,,,海南省
省直辖县级行政区划,469000000000,,,,,海南省
南宁市,450100000000,,,,,广西壮族自治区
柳州市,450200000000,,,,,广西壮族自治区
桂林市,450300000000,,,,,广西壮族自治区
梧州市,450400000000,,,,,广西壮族自治区
北海市,450500000000,,,,,广西壮族自治区
防城港市,450600000000,,,,,广西壮族自治区
钦州市,450700000000,,,,,广西壮族自治区
贵港市,450800000000,,,,,广西壮族自治区
玉林市,450900000000,,,,,广西壮族自治区
百色市,451000000000,,,,,广西壮族自治区
贺州市,451100000000,,,,,广西壮族自治区
河池市,451200000000,,,,,广西壮族自治区
来宾市,451300000000,,,,,广西壮族自治区
崇左市,451400000000,,,,,广西壮族自治区
成都市,510100000000,,,,,四川省
自贡市,510300000000,,,,,四川省
攀枝花市,510400000000,,,,,四川省
泸州市,510500000000,,,,,四川省
德阳市,510600000000,,,,,四川省
绵阳市,510700000000,,,,,四川省
广元市,510800000000,,,,,四川省
遂宁市,510900000000,,,,,四川省
内江市,511000000000,,,,,四川省
乐山市,511100000000,,,,,四川省
南充市,511300000000,,,,,四川省
眉山市,511400000000,,,,,四川省
宜宾市,511500000000,,,,,四川省
阿克苏地区,652900000000,,,,,新疆维吾尔自治区
克孜勒苏柯尔克孜自治州,653000000000,,,,,新疆维吾尔自治区
喀什地区,653100000000,,,,,新疆维吾尔自治区
和田地区,653200000000,,,,,新疆维吾尔自治区
伊犁哈萨克自治州,654000000000,,,,,新疆维吾尔自治区
塔城地区,654200000000,,,,,新疆维吾尔自治区
阿勒泰地区,654300000000,,,,,新疆维吾尔自治区
自治区直辖县级行政区划,659000000000,,,,,新疆维吾尔自治区
张掖市,620700000000,,,,,甘肃省
平凉市,620800000000,,,,,甘肃省
酒泉市,620900000000,,,,,甘肃省
庆阳市,621000000000,,,,,甘肃省
定西市,621100000000,,,,,甘肃省
陇南市,621200000000,,,,,甘肃省
临夏回族自治州,622900000000,,,,,甘肃省
甘南藏族自治州,623000000000,,,,,甘肃省
广安市,511600000000,,,,,四川省
达州市,511700000000,,,,,四川省
雅安市,511800000000,,,,,四川省
巴中市,511900000000,,,,,四川省
资阳市,512000000000,,,,,四川省
阿坝藏族羌族自治州,513200000000,,,,,四川省
甘孜藏族自治州,513300000000,,,,,四川省
凉山彝族自治州,513400000000,,,,,四川省
广州市,440100000000,,,,,广东省
韶关市,440200000000,,,,,广东省
深圳市,440300000000,,,,,广东省
珠海市,440400000000,,,,,广东省
汕头市,440500000000,,,,,广东省
佛山市,440600000000,,,,,广东省
江门市,440700000000,,,,,广东省
湛江市,440800000000,,,,,广东省
茂名市,440900000000,,,,,广东省
肇庆市,441200000000,,,,,广东省
惠州市,441300000000,,,,,广东省
梅州市,441400000000,,,,,广东省
长沙市,430100000000,,,,,湖南省
株洲市,430200000000,,,,,湖南省
湘潭市,430300000000,,,,,湖南省
衡阳市,430400000000,,,,,湖南省
邵阳市,430500000000,,,,,湖南省
岳阳市,430600000000,,,,,湖南省
常德市,430700000000,,,,,湖南省
张家界市,430800000000,,,,,湖南省
益阳市,430900000000,,,,,湖南省
郴州市,431000000000,,,,,湖南省
永州市,431100000000,,,,,湖南省
怀化市,431200000000,,,,,湖南省
娄底市,431300000000,,,,,湖南省
湘西土家族苗族自治州,433100000000,,,,,湖南省
武汉市,420100000000,,,,,湖北省
黄石市,420200000000,,,,,湖北省
十堰市,420300000000,,,,,湖北省
宜昌市,420500000000,,,,,湖北省
襄阳市,420600000000,,,,,湖北省
鄂州市,420700000000,,,,,湖北省
荆门市,420800000000,,,,,湖北省
孝感市,420900000000,,,,,湖北省
荆州市,421000000000,,,,,湖北省
黄冈市,421100000000,,,,,湖北省
咸宁市,421200000000,,,,,湖北省
随州市,421300000000,,,,,湖北省
郑州市,410100000000,,,,,河南省
开封市,410200000000,,,,,河南省
洛阳市,410300000000,,,,,河南省
平顶山市,410400000000,,,,,河南省
安阳市,410500000000,,,,,河南省
鹤壁市,410600000000,,,,,河南省
新乡市,410700000000,,,,,河南省
焦作市,410800000000,,,,,河南省
濮阳市,410900000000,,,,,河南省
许昌市,411000000000,,,,,河南省
漯河市,411100000000,,,,,河南省
三门峡市,411200000000,,,,,河南省
南阳市,411300000000,,,,,河南省
商丘市,411400000000,,,,,河南省
汕尾市,441500000000,,,,,广东省
河源市,441600000000,,,,,广东省
阳江市,441700000000,,,,,广东省
清远市,441800000000,,,,,广东省
东莞市,441900000000,,,,,广东省
中山市,442000000000,,,,,广东省
潮州市,445100000000,,,,,广东省
揭阳市,445200000000,,,,,广东省
云浮市,445300000000,,,,,广东省
恩施土家族苗族自治州,422800000000,,,,,湖北省
省直辖县级行政区划,429000000000,,,,,湖北省
信阳市,411500000000,,,,,河南省
周口市,411600000000,,,,,河南省
驻马店市,411700000000,,,,,河南省
省直辖县级行政区划,419000000000,,,,,河南省
